Wall time,Step,Value
1716076568.7250109,4000,0.19499999284744263
1716076616.497243,8000,0.2613333463668823
1716076668.1356091,12000,0.261555552482605
1716076718.876976,16000,0.2697499990463257
1716076767.988884,20000,0.2643333375453949
1716076821.1573062,24000,0.26980000734329224
1716076875.5100422,28000,0.26313334703445435
1716076927.223351,32000,0.2687999904155731
1716076983.4287271,36000,0.27506667375564575
1716077035.966101,40000,0.27453333139419556
1716077088.707238,44000,0.28246667981147766
1716077166.027255,48000,0.2720666527748108
1716077224.9406059,52000,0.27880001068115234
1716077283.0120819,56000,0.26339998841285706
1716077342.412694,60000,0.27000001072883606
1716077439.707485,64000,0.2635333240032196
1716077540.838599,68000,0.2786666750907898
1716077608.6889331,72000,0.2739333212375641
1716077663.411776,76000,0.2847999930381775
1716077724.676727,80000,0.28540000319480896
1716077796.647694,84000,0.29019999504089355
1716077945.8564532,88000,0.29159998893737793
1716078053.452287,92000,0.28806665539741516
1716078122.6316469,96000,0.2906000018119812
1716078176.6413708,100000,0.28813332319259644
1716078236.93671,104000,0.28306666016578674
1716078378.4229178,108000,0.2777999937534332
1716078475.7456949,112000,0.265666663646698
1716078539.9882271,116000,0.25306665897369385
1716078707.9791949,120000,0.24246667325496674
1716078844.4001899,124000,0.24580000340938568
1716078924.430509,128000,0.23933333158493042
1716079049.673255,132000,0.23933333158493042
1716079137.437885,136000,0.23946666717529297
1716079253.425081,140000,0.24140000343322754
1716079420.669919,144000,0.23720000684261322
1716079534.151523,148000,0.24213333427906036
1716079695.642996,152000,0.2505333423614502
1716079848.408691,156000,0.2630000114440918
1716079919.870935,160000,0.27059999108314514
1716080058.222891,164000,0.2669999897480011
1716080240.8855722,168000,0.2632000148296356
1716080359.740598,172000,0.26466667652130127
1716080405.809943,176000,0.24993333220481873
1716080512.120627,180000,0.24660000205039978
1716080663.79776,184000,0.2484000027179718
1716080733.702923,188000,0.2401999980211258
1716080803.61472,192000,0.23100000619888306
1716080914.973196,196000,0.23440000414848328
1716080995.278452,200000,0.23386666178703308
1716081075.64818,204000,0.23853333294391632
1716081141.6561248,208000,0.24593333899974823
1716081325.28294,212000,0.25
1716081373.173552,216000,0.24160000681877136
1716081481.269401,220000,0.24673333764076233
1716081713.230489,224000,0.249466672539711
1716081760.699497,228000,0.24473333358764648
1716081854.705627,232000,0.24373333156108856
1716082060.724433,236000,0.2640666663646698
1716082192.755717,240000,0.25493332743644714
1716082285.739397,244000,0.25486665964126587
1716082370.691446,248000,0.24373333156108856
1716082433.249401,252000,0.24246667325496674
1716082586.468529,256000,0.23093333840370178
1716082711.682972,260000,0.23186667263507843
1716082853.542332,264000,0.22873333096504211
1716082918.5374012,268000,0.2515333294868469
1716083208.890892,272000,0.2635333240032196
1716083258.614806,276000,0.2653999924659729
1716083307.657723,280000,0.2622666656970978
1716083367.223126,284000,0.25940001010894775
1716083533.039308,288000,0.25513333082199097
1716083869.918566,292000,0.24300000071525574
1716084078.398846,296000,0.23720000684261322
1716084155.3770921,300000,0.2431333363056183
1716084350.5998,304000,0.24053333699703217
1716085088.884228,308000,0.24379999935626984
1716085140.638647,312000,0.25839999318122864
1716085189.9719172,316000,0.25946667790412903
1716085242.243545,320000,0.26420000195503235
1716085355.908733,324000,0.2720666527748108
1716085405.762604,328000,0.26660001277923584
1716085477.395531,332000,0.2571333348751068
1716085651.6949718,336000,0.26313334703445435
1716085760.698176,340000,0.2654666602611542
1716085930.87124,344000,0.2558000087738037
1716085978.70364,348000,0.24246667325496674
1716086112.996107,352000,0.24726666510105133
1716086596.4037771,356000,0.24279999732971191
1716086646.057377,360000,0.22986666858196259
1716086712.438756,364000,0.23013333976268768
1716086804.062048,368000,0.24186666309833527
1716086860.761224,372000,0.23706667125225067
1716086911.504351,376000,0.2502000033855438
1716086960.952472,380000,0.25033333897590637
1716087014.286287,384000,0.2512666583061218
1716087065.674308,388000,0.24506667256355286
1716087116.792369,392000,0.23466666042804718
1716087170.208436,396000,0.22646667063236237
1716087223.8606899,400000,0.23293332755565643
