Wall time,Step,Value
1716072726.0354912,1000,0.11599999666213989
1716072844.6740508,2000,0.18733333051204681
1716073000.6714218,3000,0.2280000001192093
1716073115.0012336,4000,0.26600000262260437
1716073232.8468628,5000,0.2696000039577484
1716073347.6108885,6000,0.25999999046325684
1716073458.406063,7000,0.2481904774904251
1716073577.911454,8000,0.23983334004878998
1716073696.5888507,9000,0.23125925660133362
1716073816.859829,10000,0.2223999947309494
1716073905.5113204,11000,0.2099393904209137
1716074015.0527182,12000,0.19966666400432587
1716074137.7699904,13000,0.190769225358963
1716074244.9166405,14000,0.18133333325386047
1716074352.1704366,15000,0.1721777766942978
1716074460.1689858,16000,0.16491666436195374
1716074578.0324483,17000,0.15850980579853058
1716074692.6085472,18000,0.15333333611488342
1716074811.1662679,19000,0.1489824503660202
1716074931.8210518,20000,0.14446666836738586
1716075047.4947312,21000,0.14046666026115417
1716075161.6394968,22000,0.13120000064373016
1716075278.9783342,23000,0.11906666308641434
1716075400.5799904,24000,0.10406666994094849
1716075528.8357124,25000,0.09333333373069763
1716075641.7758596,26000,0.08606666326522827
1716075754.34218,27000,0.08046666532754898
1716075869.8680744,28000,0.07546667009592056
1716075983.3455155,29000,0.07159999758005142
1716076094.232616,30000,0.06920000165700912
1716076207.1372516,31000,0.06859999895095825
1716076319.067228,32000,0.06913333386182785
1716076431.34575,33000,0.06960000097751617
1716076543.7765026,34000,0.07020000368356705
1716076654.4140413,35000,0.07153332978487015
1716076826.3275259,36000,0.07293333113193512
1716077196.5806658,37000,0.07373332977294922
1716077346.7338688,38000,0.07259999960660934
1716077480.024285,39000,0.070333331823349
1716077620.880129,40000,0.06946666538715363
1716077745.27241,41000,0.06859999895095825
1716077871.5028718,42000,0.06626666337251663
1716077990.473591,43000,0.06459999829530716
1716078116.6355324,44000,0.06279999762773514
1716078235.9387376,45000,0.061799999326467514
1716078352.0257635,46000,0.061533331871032715
1716078470.566628,47000,0.06213333457708359
1716078597.321953,48000,0.06233333423733711
1716078735.7260647,49000,0.061533331871032715
1716078866.7247114,50000,0.06040000170469284
1716078982.7811232,51000,0.05986666679382324
1716079103.0867252,52000,0.05820000171661377
1716079221.9255042,53000,0.0562666654586792
1716079339.2828338,54000,0.05533333495259285
1716079456.5918965,55000,0.055399999022483826
1716079576.3538508,56000,0.055266667157411575
1716079693.2302766,57000,0.0549333319067955
1716079810.1730957,58000,0.055266667157411575
1716079928.337814,59000,0.055933333933353424
1716080067.6496642,60000,0.055533334612846375
1716080192.6950037,61000,0.0554666668176651
1716080348.272054,62000,0.055666666477918625
1716080480.1552596,63000,0.05660000070929527
1716080614.5686314,64000,0.05779999867081642
1716080759.8295739,65000,0.05846666544675827
1716080893.3424134,66000,0.057866666465997696
1716081022.4842162,67000,0.05660000070929527
1716081142.6845064,68000,0.055133331567049026
1716081268.846744,69000,0.0541333332657814
1716081394.9863622,70000,0.05299999937415123
1716081515.9857514,71000,0.05173333361744881
1716081637.5396268,72000,0.05053333193063736
1716081754.0842757,73000,0.050066664814949036
1716081879.8493428,74000,0.04986666515469551
1716082001.4552662,75000,0.04873333498835564
1716082123.8943398,76000,0.04726666584610939
1716082252.668227,77000,0.04639999940991402
1716082384.7892315,78000,0.04699999839067459
1716082513.2830822,79000,0.04780000075697899
1716082645.284092,80000,0.04846666753292084
1716082764.6832466,81000,0.04886666685342789
1716082885.3086474,82000,0.049800001084804535
1716083032.0862534,83000,0.050066664814949036
1716083161.331104,84000,0.05000000074505806
1716083276.8894541,85000,0.04933333396911621
1716083392.1650355,86000,0.04873333498835564
1716083507.7441764,87000,0.04886666685342789
1716083626.111161,88000,0.050066664814949036
1716083744.9518044,89000,0.05133333429694176
1716083863.140795,90000,0.05220000073313713
1716083981.2448776,91000,0.05246666818857193
1716084100.853402,92000,0.05246666818857193
1716084231.2898178,93000,0.05166666582226753
1716084355.082617,94000,0.05133333429694176
1716084475.396097,95000,0.052666667848825455
1716084596.396971,96000,0.054466668516397476
1716084715.9067583,97000,0.05533333495259285
1716084835.6976583,98000,0.0541333332657814
1716084953.6925333,99000,0.05473333224654198
1716085071.1719577,100000,0.05533333495259285
